Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Fungal infection,itching,skin rash,nodal skin eruptions,dischromic  patches,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,skin rash,nodal skin eruptions,dischromic  patches,itching,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,nodal skin eruptions,dischromic  patches,0,skin rash,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,dischromic  patches,nodal skin eruptions,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,nodal skin eruptions,0,dischromic  patches,skin rash,nodal skin eruptions,itching,,
Fungal infection,skin rash,nodal skin eruptions,dischromic  patches,itching,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,nodal skin eruptions,dischromic  patches,0,skin rash,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,dischromic  patches,nodal skin eruptions,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,nodal skin eruptions,0,dischromic  patches,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,nodal skin eruptions,dischromic  patches,0,skin rash,nodal skin eruptions,itching,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,
Allergy,shivering,chills,watering from eyes,continuous sneezing,,,,,,
Allergy,continuous sneezing,chills,watering from eyes,shivering,,,,,,
Allergy,continuous sneezing,shivering,watering from eyes,chills,,,,,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,
Allergy,shivering,chills,watering from eyes,continuous sneezing,,,,,,
Allergy,continuous sneezing,chills,watering from eyes,shivering,,,,,,
Allergy,continuous sneezing,shivering,watering from eyes,chills,,,,,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,acidity,,,,
GERD,stomach pain,acidity,vomiting,cough,chest pain,ulcers on tongue,,,,
GERD,stomach pain,acidity,ulcers on tongue,cough,chest pain,vomiting,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,chest pain,cough,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,
GERD,acidity,ulcers on tongue,vomiting,cough,chest pain,stomach pain,,,,
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,acidity,,,,
